14|27|23
4|111|16
8|27|23
4|112|19
4|27|13
7|27|14
17|30|27
11|27|16
6|27|21
8|149|25
6|27|20
9|222|17
14|29|28
6|27|21
31|27|34
6|27|13
18|41|30
4|27|7
5|27|19
8|27|21
9|27|17
13|27|18
26|158|31
2|27|17
6|27|18
11|27|15
11|27|19
19|52|46
2|27|12
4|27|15
7|27|18
5|27|19
18|33|29
5|27|13
3|27|11
4|198|13
6|27|17
5|27|20
18|35|19
1|27|12
14|37|27
10|27|16
7|27|22
4|27|16
13|27|23
3|27|9
13|27|15
26|33|27
5|27|16
5|27|15
5|27|13
5|27|14
10|27|13
7|27|21
3|27|11
6|27|17
9|30|22
7|27|18
13|29|26
4|27|15
3|34|22
21|474|25
10|27|14
5|27|13
4|27|11
11|27|13
4|27|6
5|27|15
3|27|12
7|27|22
11|27|19
5|27|18
3|27|7
4|27|11
4|27|13
6|27|16
7|27|18
18|42|26
11|27|25
9|27|22
10|27|17
5|27|19
9|27|13
10|34|26
27|31|32
8|27|18
4|30|25
10|27|17
20|40|38
2|27|8
9|27|16
6|27|18
4|27|21
7|125|29
9|27|23
9|27|15
4|27|7
7|27|21
4|27|16
15|27|11
4|27|17
11|27|17
12|28|25
19|37|28
5|27|19
11|29|19
5|27|18
6|27|16
7|27|17
4|27|6
7|27|18
14|27|23
8|27|16
5|27|11
3|27|16
13|27|15
4|27|17
6|27|10
2|27|13
6|67|20
2|27|7
4|27|18
4|27|14
9|32|17
4|27|22
13|27|16
7|27|13
11|27|19
10|27|17
30|151|23
11|27|17
10|27|33
1|27|9
31|144|40
6|27|8
7|27|19
8|27|10
9|27|17
18|27|23
10|27|16
16|27|22
14|27|20
15|27|19
4|27|21
15|165|33
6|27|13
2|27|12
8|75|21
35|27|33
13|27|18
6|27|13
6|27|16
1|27|13
13|30|24
7|27|16
11|27|17
8|27|21
8|27|14
3|27|13
0|27|7
7|35|26
9|27|24
10|27|20
8|27|20
2|27|9
7|27|18
5|147|12
5|27|14
11|27|13
15|27|21
7|27|13
9|27|16
3|27|20
5|27|32
4|27|15
10|27|17
12|38|21
7|27|19
27|146|34
7|27|14
6|27|8
8|27|21
11|27|16
11|92|23
10|27|17
20|41|24
20|27|17
5|27|14
6|27|20
30|37|37
8|27|34
4|27|10
4|27|17
8|27|19
16|27|12
9|85|22
6|27|17
10|27|14
10|144|25
14|27|32
9|27|14
5|28|22
22|27|24
9|27|20
4|27|13
15|33|22
14|36|31
4|27|13
10|27|19
10|27|21
6|27|16
6|27|9
19|28|27
6|27|25
8|27|14
21|88|34
39|27|52
3|27|11
8|27|21
6|27|13
13|30|25
7|27|20
7|27|18
6|27|21
7|27|11
10|27|23
15|30|24
8|27|13
4|27|14
0|27|21
20|128|29
7|27|19
20|27|26
3|27|12
6|27|17
4|27|11
8|27|11
7|27|17
13|27|16
13|27|18
17|27|18
5|27|15
17|34|22
10|27|23
7|139|22
7|28|28
4|27|10
14|27|22
2|31|21
9|27|17
2|27|8
12|27|19
9|27|19
26|42|26
4|148|16
3|27|12
12|32|28
11|27|16
2|27|12
8|27|18
9|27|18
8|27|21
44|43|37
25|27|28
7|27|12
5|27|20
3|27|12
10|27|27
20|42|25
11|27|18
12|27|19
12|31|29
6|27|14
8|27|21
4|27|10
18|39|31
7|149|15
9|27|19
9|27|26
2|27|16
7|27|13
16|37|34
5|27|19
5|27|13
12|27|33
5|27|23
3|27|20
7|149|11
3|27|15
6|27|11
8|27|17
6|27|17
8|27|28
11|27|20
9|27|15
36|149|25
20|27|32
6|27|14
11|27|21
10|27|17
9|27|15
15|27|24
3|27|11
31|46|43
6|27|16
24|149|37
18|36|33
2|27|23
12|27|16
20|37|28
10|27|19
9|27|23
5|27|16
24|174|52
9|27|19
7|27|16
19|28|26
6|149|17
4|27|11
8|27|16
5|27|8
4|27|11
2|27|14
5|27|10
19|27|41
8|27|14
16|28|34
14|28|26
6|27|26
7|75|16
8|27|16
3|27|12
0|27|21
6|27|11
5|27|14
5|89|18
7|27|14
6|27|8
16|122|24
6|27|12
2|27|12
6|27|12
15|27|11
6|27|17
5|27|16
7|27|20
7|27|14
7|27|17
5|27|10
5|27|9
5|27|11
9|30|24
12|27|16
4|27|11
30|49|41
8|27|17
8|27|19
6|27|21
6|53|30
8|27|21
1|27|7
3|27|11
8|27|13
11|28|23
28|34|34
5|27|14
7|29|28
7|27|16
9|27|15
7|27|16
6|27|14
12|30|27
14|31|30
6|27|15
3|27|15
8|27|13
14|28|27
9|27|17
13|30|21
4|27|8
3|27|11
3|27|17
8|27|18
11|27|25
6|27|16
7|27|16
6|27|16
9|33|26
3|27|9
15|27|22
18|27|23
6|27|13
6|27|14
5|27|18
12|27|22
3|27|12
13|27|21
18|27|18
10|28|28
14|45|27
5|27|13
6|27|15
13|27|29
8|27|18
10|27|16
3|27|14
3|27|15
5|27|14
3|27|26
8|27|12
4|27|16
8|27|20
9|37|24
12|32|32
9|27|21
5|27|18
6|27|16
8|27|16
7|28|26
10|27|14
3|27|17
4|27|13
2|27|8
2|27|12
12|27|20
9|27|14
10|33|26
6|27|17
5|27|17
20|44|29
3|27|8
2|29|21
7|27|18
12|27|22
10|32|26
9|27|11
7|27|21
7|440|13
9|27|21
13|27|16
11|27|11
8|27|16
35|99|39
10|27|19
9|27|16
20|27|25
11|27|20
9|27|23
21|56|43
4|27|15
11|85|21
11|49|25
7|295|12
6|27|11
4|27|14
5|27|15
8|27|17
8|27|19
3|27|9
8|166|16
8|27|12
9|27|18
4|27|11
12|27|22
8|27|17
4|27|15
10|27|21
9|27|13
4|33|19
9|30|28
10|34|26
6|27|16
5|27|17
3|27|14
21|34|37
4|27|8
5|27|8
10|49|34
17|27|32
5|27|16
8|27|17
3|27|14
21|29|25
12|27|22
4|27|18
5|27|15
10|27|18
4|27|13
20|163|34
8|27|22
6|27|17
10|27|13
13|37|32
4|27|15
9|27|12
14|99|29
10|27|22
5|27|19
11|27|22
28|27|26
5|27|13
8|27|29
29|43|40
16|27|26
10|27|21
6|27|15
9|27|19
10|27|16
9|27|19
7|36|33
6|27|20
9|27|17
7|27|16
5|27|20
7|27|15
12|27|19
36|27|23
3|27|20
8|31|25
11|29|24
6|27|13
11|27|26
4|27|8
9|27|15
7|27|17
3|27|17
15|49|46
9|27|16
8|27|19
4|27|16
4|27|12
9|27|15
9|28|17
9|27|20
12|31|21
5|27|14
12|27|20
4|27|7
7|27|11
9|34|27
13|38|29
10|27|19
9|27|16
4|27|19
7|27|24
7|27|20
13|158|19
1|27|13
11|27|17
9|27|22
6|27|19
4|27|17
17|224|27
11|27|26
8|27|17
6|27|20
14|27|26
9|29|23
10|27|14
5|27|11
5|27|16
9|34|34
28|33|43
0|27|13
9|27|16
6|27|21
4|27|9
6|27|13
10|29|21
16|27|29
8|27|16
5|27|18
4|27|15
5|27|15
4|27|17
14|37|31
23|28|25
7|27|16
11|44|33
25|27|25
5|37|29
11|27|31
5|27|10
6|27|12
5|27|21
3|27|12
3|27|10
5|27|15
10|27|19
9|27|16
5|27|19
9|27|14
12|34|19
8|27|17
8|30|23
5|27|12
4|27|17
7|27|12
17|27|29
8|38|25
7|27|12
4|27|17
2|27|9
19|30|26
7|27|18
3|27|15
7|27|14
6|27|16
5|27|17
16|36|27
6|27|13
5|27|10
14|39|39
3|149|20
8|31|22
9|27|13
7|27|14
11|27|19
2|27|6
7|27|19
5|27|22
4|27|14
10|36|27
15|27|23
5|27|17
5|27|16
10|27|17
5|27|19
5|27|30
9|27|24
12|30|22
14|27|12
6|27|23
7|27|13
8|31|23
6|27|14
6|27|17
10|27|18
3|27|13
2|27|8
8|27|14
7|27|9
18|46|39
16|27|25
11|27|17
27|32|25
9|27|17
3|27|15
12|27|16
17|27|37
7|27|9
8|27|15
19|27|27
6|27|17
14|27|25
21|32|33
8|27|14
13|27|15
8|27|27
4|27|28
8|222|21
6|27|14
5|27|15
9|27|21
7|28|25
7|27|19
10|27|27
6|27|16
3|78|17
7|27|16
9|27|16
8|27|21
5|27|9
2|27|17
4|27|9
10|27|14
2|27|17
14|42|26
8|27|20
12|31|27
4|27|13
4|43|34
6|27|19
8|27|15
16|27|19
9|27|19
9|27|14
6|27|17
4|27|17
8|27|13
10|27|14
8|27|20
2|27|10
13|28|23
3|27|18
7|27|27
7|34|30
1|27|14
12|27|16
6|27|15
6|27|17
2|27|12
7|27|17
12|27|18
7|27|17
27|37|38
21|34|34
12|30|18
2|27|9
3|27|9
3|27|11
4|27|9
8|27|17
